handle,Vendor,title,Body (HTML),Type,Product Category,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,status
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,14K White Gold,size,4,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,18K White Gold,size,4,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,14K White Gold,size,4.5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,18K White Gold,size,4.5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,14K White Gold,size,5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,18K White Gold,size,5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,14K White Gold,size,5.5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,18K White Gold,size,5.5,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,14K White Gold,size,6,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
17072,Brilliance,Classic Solitaire Engagement Ring in White Gold,"This classic white gold solitaire engagement ring setting lifts the diamond into the light for unequaled brilliance. A white gold four prong setting secures your choice of center diamond. Proudly made in the USA.
",jewellery,Engagement_rings,TRUE,color,18K White Gold,size,6,0,shopify,999,deny,manual,395,395,TRUE,TRUE,,"https://www.brilliance.com//cdn-cgi/image/f=webp,width=900,height=900,quality=90/sites/default/files/engagement-rings/classic-solitaire-engagement-ring-white-gold-2-5-mm/1whiterenderingclassicsolitaireengagementringinwhitegoldtop.jpg",1,Classic Solitaire Engagement Ring in White Gold,active
